,Time,viewCount,likeCount,dislikeCount,videoTitleSentimentScore_pos,videoTitleSentimentScore_neg,captionSentimentScore_pos,captionSentimentScore_neg,captionSentimentScore_com,videoTitleSentimentScore_com,num_days_since_pub,viewcounts_weighted,like_count_weighted,dislike_count_weighted,like_dislike_ratio,weighted_like_dislike_ratio,like_dislike_ratio_by_viewcounts_weighted,weekday,price,future_price,percent_change
80,2020-10-13 18:30:00,9986.52,223.88,6.88,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,32.12,306.049588646799,9.142190593580263,0.2021382176564219,0.9723951842261356,0.9723951842261356,297.11226941438053,1,569.9099731445312,563.6300048828125,-1.1019228575819495
81,2020-10-13 19:30:00,9929.12,225.4,6.92,0.11648,0.0,0.0,0.0,0.0,0.201548,29.84,307.5422804433745,9.362045294434967,0.2107206352388394,0.974031254038676,0.974031254038676,298.5501343850225,1,569.9099731445312,563.6300048828125,-1.1019228575819495
82,2020-10-13 20:30:00,9988.16,223.88,6.92,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,32.28,303.9813655561402,8.964031863421535,0.2009477414659457,0.9723272993904803,0.9723272993904803,295.0456575609693,1,569.9099731445312,563.6300048828125,-1.1019228575819495
83,2020-10-13 21:30:00,9988.68,223.96,6.92,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,32.28,304.04447666725133,8.97536519675487,0.2009477414659457,0.9723976131058032,0.9723976131058032,295.1242665477862,1,569.9099731445312,563.6300048828125,-1.1019228575819495
84,2020-10-14 12:30:00,9846.16,225.48,6.92,0.0828,0.0,0.12048,0.02304,0.8791959999999999,0.1519319999999999,36.88,269.2152209658867,8.115595181305457,0.1809501488192821,0.9729261486428378,0.9729261486428378,261.421120303971,2,560.7899780273438,554.8400268554688,-1.0609945621362191
85,2020-10-14 13:30:00,9846.32,225.48,6.92,0.0828,0.0,0.12048,0.02304,0.879196,0.151932,36.88,269.2355081231739,8.115595181305459,0.180950148819282,0.9729261486428376,0.9729261486428376,261.44104480944094,2,561.3599853515625,553.1199951171875,-1.4678620581077828
86,2020-10-14 14:30:00,9846.68,225.48,6.96,0.0828,0.0,0.12048,0.02304,0.879196,0.1519319999999999,36.88,269.2668426078562,8.115595181305457,0.1813849314279777,0.9729064557483448,0.9729064557483448,261.445311244307,2,563.5850219726562,556.6900024414062,-1.2234213583455555
87,2020-10-14 15:30:00,9847.08,225.52,6.96,0.0828,0.0,0.12048,0.02304,0.879196,0.151932,36.88,269.31025639095753,8.123595181305456,0.1813849314279777,0.972949466501033,0.972949466501033,261.4923437309463,2,565.9000244140625,559.97998046875,-1.0461289432602827
88,2020-10-14 16:30:00,9847.76,225.52,6.96,0.0828,0.0,0.12048,0.02304,0.879196,0.1519319999999999,36.96,269.2908314096488,8.121022985212903,0.1813143449472621,0.972949466501033,0.972949466501033,261.47380840088493,2,563.6300048828125,558.7999877929688,-0.8569481837376602
89,2020-10-14 17:30:00,9848.44,225.52,6.96,0.0828,0.0,0.12048,0.02304,0.8791959999999999,0.151932,37.04,263.4711388656912,8.057517934707853,0.1784557590886763,0.972949466501033,0.972949466501033,255.91022986550624,2,563.6300048828125,558.7999877929688,-0.8569481837376602
90,2020-10-14 18:30:00,9849.24,225.52,6.96,0.0828,0.0,0.12048,0.02304,0.8791959999999999,0.151932,37.16,263.40198162137153,8.052095701651547,0.1782902590747901,0.9729494665010332,0.9729494665010332,255.8441346830154,2,563.6300048828125,558.7999877929688,-0.8569481837376602
91,2020-10-14 19:30:00,9849.72,225.48,6.96,0.0828,0.0,0.12048,0.02304,0.8791959999999999,0.1519319999999999,37.24,262.4672699393338,7.984231203006561,0.1781235924081234,0.9729480272465668,0.9729480272465668,254.91174247577464,2,563.6300048828125,558.7999877929688,-0.8569481837376602
